股票简称,10日净买入率总和,10日最新价涨跌幅,10日净买入率/涨跌幅
芯朋微,1.55%,15.96%,0.09712651265126518
顺络电子,1.11%,11.53%,0.09629885496183203
映翰通,1.04%,-11.36%,0.09155441176470591
赛力斯,1.73%,19.18%,0.09020053475935833
争光股份,2.16%,24.12%,0.08954563106796118
香农芯创,2.8%,36.59%,0.07652356020942411
中国汽研,1.03%,14.71%,0.07002593856655291
抚顺特钢,1.11%,15.86%,0.06999795918367344
倍轻松,2.08%,-29.87%,0.06963977900552486
彩虹股份,2.15%,31.8%,0.06761379310344826
拓荆科技,1.37%,-20.26%,0.06760833233996902
名臣健康,1.02%,-15.31%,0.06660757363253855
永和股份,1.32%,21.7%,0.06084022770398482
苏州龙杰,1.24%,-21.03%,0.05896888888888889
