代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz301201,诚达药业,22.73,-0.35%,2.79%,23295000.0,31396300.0,8101300.0,54691500.0
sz301059,金三江,11.45,-0.35%,3.52%,12529500.0,14654000.0,2124500.0,27183500.0
sh603286,日盈电子,16.97,-0.35%,2.33%,17796000.0,17900500.0,104500.0,35696500.0
sz002155,湖南黄金,11.45,-0.35%,3.13%,162000000.0,276000000.0,113999999.99999999,437000000.0
sz000651,格力电器,34.53,-0.35%,0.90%,840000000.0,927999999.9999999,87776000.0,1768000000.0
sz002321,华英农业,2.74,-0.36%,6.13%,180000000.0,185000000.0,4920000.0,365000000.0
sz301087,可孚医疗,38.86,-0.36%,1.49%,25029600.0,27724699.999999996,2695200.0,52754399.99999999
sh688559,海目星,41.85,-0.36%,1.59%,40988300.0,48626400.0,7638000.0,89614700.0
sh603305,旭升集团,22.17,-0.36%,0.89%,86733799.99999999,100000000.0,13485100.0,187000000.0
sh601991,大唐发电,2.79,-0.36%,0.67%,95377800.0,140000000.0,44140000.0,235000000.0
sh600855,航天长峰,11.22,-0.36%,1.32%,31365700.0,35061800.0,3696000.0,66427500.0
sz300370,安控科技,2.76,-0.36%,1.48%,16176099.999999998,30615600.0,14439400.0,46791700.0
sz002335,科华数据,30.41,-0.36%,1.91%,109000000.00000001,127000000.0,18085500.0,236000000.0
sz000426,兴业银锡,8.31,-0.36%,2.04%,111000000.00000001,137000000.0,26413000.0,252999999.99999997
sz301518,长华化学,26.7,-0.37%,14.02%,55692299.99999999,72660200.0,16967900.0,128000000.0
sh688608,恒玄科技,113.2,-0.37%,1.61%,60904900.0,87783700.00000001,26878800.0,149000000.0
sh600482,中国动力,18.64,-0.37%,0.59%,108000000.0,125000000.0,17647800.0,233000000.0
sz300550,和仁科技,13.64,-0.37%,0.73%,9642700.0,17029200.0,7386500.0,26671900.0
sz301020,密封科技,18.8,-0.37%,2.04%,14458599.999999998,14267300.0,191300.0,28725900.0
sz300146,汤臣倍健,18.78,-0.37%,1.34%,121000000.0,172000000.0,51297500.0,292000000.0
sz002696,百洋股份,8.0,-0.37%,27.29%,320000000.0,418000000.0,97927700.0,750000000.0
sh605136,丽人丽妆,10.5,-0.38%,2.43%,26181500.0,25062100.0,1119400.0,51243600.0
sh603889,新澳股份,7.88,-0.38%,0.58%,16161900.0,16637300.0,475500.0,32799300.0
sh603380,易德龙,20.72,-0.38%,0.70%,8846900.0,14874600.0,6027700.0,23721500.0
sh600285,羚锐制药,15.73,-0.38%,1.44%,66309600.0,62643600.0,3666100.0,129000000.0
sz300369,绿盟科技,10.51,-0.38%,2.98%,92932300.0,145000000.0,52331500.0,238000000.0
sz300081,恒信东方,7.8,-0.38%,4.43%,82557500.0,90384900.0,7827400.0,176000000.0
sh688293,奥浦迈,43.83,-0.39%,3.64%,19696800.0,20506400.0,809599.9999999999,40203000.0
sh603929,亚翔集成,15.27,-0.39%,1.36%,19779900.0,25555800.0,5775900.0,45335800.0
sh600576,祥源文旅,7.59,-0.39%,1.47%,30627399.999999996,46014500.0,15387100.0,76641800.0
sz300586,美联新材,10.23,-0.39%,0.68%,13919000.0,24229800.0,10310800.0,38148800.0
sz300382,斯莱克,10.24,-0.39%,1.03%,30642399.999999996,37609400.0,6967000.0,68251900.0
sh688287,观典防务,10.02,-0.40%,1.02%,14059600.0,25267900.0,11208300.0,39327500.0
sh603505,金石资源,24.7,-0.40%,0.72%,45299600.0,65500100.0,20200500.0,111000000.00000001
sh600071,凤凰光学,16.94,-0.41%,1.07%,24852700.0,27378100.0,2525400.0,52230800.0
sh600025,华能水电,7.22,-0.41%,0.17%,97004200.0,123000000.0,25503300.0,220000000.00000003
sh603130,云中马,21.31,-0.42%,7.60%,23220000.0,34435600.0,11215600.0,57655500.0
